filename,type,status,start_time,estimated_time,print_duration,filament_used,slicer,energy_consumption,average_power,max_power,average_current,max_current
Body1_ABS_28m1s.gcode,job,completed,"May 1, 2025 6:07 PM",1681,1547,2624.572,OrcaSlicer 2.2.0,--,--,--,--,--
[a]_z_belt_bed_fan_mount_a_x1_ABS_2h32m.gcode,job,completed,"Apr 30, 2025 5:51 PM",9105,8244,17301.744,OrcaSlicer 2.2.0,--,--,--,--,--
z_belt_fan_cover_b__ABS_3h56m.gcode,job,completed,"Apr 29, 2025 8:21 PM",14143,12934,20379.938,OrcaSlicer 2.2.0,--,--,--,--,--
z_belt_fan_cover_b__ABS_3h56m.gcode,job,error,"Apr 29, 2025 7:05 PM",14143,0,0,OrcaSlicer 2.2.0,--,--,--,--,--
b_drive_lower_x1_ABS_43m52s.gcode,job,completed,"Apr 28, 2025 6:34 PM",2632,2412,3910.371,OrcaSlicer 2.2.0,--,--,--,--,--
a_drive_upper_x1_ABS_1h30m.gcode,job,completed,"Apr 28, 2025 6:28 PM",5410,36,7807.995,OrcaSlicer 2.2.0,--,--,--,--,--
b_drive_upper_x1_ABS_1h35m.gcode,job,completed,"Apr 28, 2025 4:27 PM",5680,5262,8295.634,OrcaSlicer 2.2.0,--,--,--,--,--
fan_mount_x2_ABS_40m51s.gcode,job,completed,"Apr 28, 2025 3:38 PM",2451,2300,3947.03,OrcaSlicer 2.2.0,--,--,--,--,--
fan_mount_x2_ABS_40m51s.gcode,job,completed,"Apr 28, 2025 2:57 PM",2451,2300,3947.03,OrcaSlicer 2.2.0,--,--,--,--,--
keystone_skirt_ABS_2h35m.gcode,job,completed,"Apr 28, 2025 12:36 PM",9276,8078,18226.744,OrcaSlicer 2.2.0,--,--,--,--,--
Body1_ABS_3h50m.gcode,job,completed,"Apr 28, 2025 9:06 AM",13811,12233,23815.691,OrcaSlicer 2.2.0,--,--,--,--,--
Cowl_NoProbe_ABS_1h25m.gcode,job,completed,"Apr 24, 2025 9:42 AM",5080,4861,7113.764,OrcaSlicer 2.2.0,--,--,--,--,--
Cowl_NoProbe_ABS_1h25m.gcode,job,completed,"Apr 24, 2025 8:02 AM",5080,4861,7113.764,OrcaSlicer 2.2.0,--,--,--,--,--
Cowl_NoProbe_ABS_1h25m.gcode,job,completed,"Apr 23, 2025 7:34 PM",5080,4861,7113.764,OrcaSlicer 2.2.0,--,--,--,--,--
SpeedTestStructure_ABS_1h6m.gcode,job,cancelled,"Apr 23, 2025 6:38 PM",3989,2596,14089.393,OrcaSlicer 2.2.0,--,--,--,--,--
Orbiter2_Hotend_Mount_ABS_1h3m.gcode,job,completed,"Apr 23, 2025 5:21 PM",3774,3552,4408.214,OrcaSlicer 2.2.0,--,--,--,--,--
